投稿日,タイトル,URL,グループ,症状名・悩み事,年月
2025/05/24,片付けができない理由,https://www.instagram.com/reel/DKAiBZQTCut/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"パートナー, 氣",片付け,2025-05
2025/05/23,氣を調えるWS①,https://www.instagram.com/reel/DJ-GFoITdMW/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"セミナー告知, 氣",氣を調えるWS①,2025-05
2025/05/22,予定が無いのがうれしかったり、寂しかったり,https://www.instagram.com/reel/DJ7YbAwzt57/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"人間関係, 氣",自己肯定感,2025-05
2025/05/20,話すと涙が…,https://www.instagram.com/reel/DJ2OK75TdrF/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,氣,涙　泣く,2025-05
2025/05/18,気にしないようにするのはムリ,https://www.instagram.com/reel/DJxFKq1TCVp/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,氣,意味に気がつく,2025-05
2025/05/17,子どもに早起き真似された,https://www.instagram.com/reel/DJugWniTp6S/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"嬉しい報告, 生活習慣, 親子",早起き,2025-05
2025/05/16,東洋医学の食事のキホン,https://www.instagram.com/reel/DJqGvsvzcUF/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"セミナー告知, 食事",食事,2025-05
2025/05/16,氣を調えたら異動できた,https://www.instagram.com/reel/DJr7j7MugkW/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"嬉しい報告, 生活習慣",調える,2025-05
2025/05/15,不安定はふつうで自然,https://www.instagram.com/reel/DJpWNIXxg5b/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"氣, 親子",安定させたい,2025-05
2025/05/14,退職希望。社長の反応が気になって…,https://www.instagram.com/reel/DJmyEfBxRp4/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,人間関係,退職,2025-05
2025/05/13,社会に不満。やるせない気持ちに…,https://www.instagram.com/reel/DJkMo6SRku1/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,氣,不満,2025-05
2025/05/12,息子の受験、なんとかなるわ,https://www.instagram.com/reel/DJhn4HnRB2V/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,親子,受験,2025-05
2025/05/11,最＆高　嬉しい旦那,https://www.instagram.com/reel/DJfDCc-R38J/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"パートナー, 嬉しい報告",のびのび,2025-05
2025/05/10,家事を手伝って体調崩す夫,https://www.instagram.com/reel/DJce2P2RDgm/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"パートナー, 人間関係",家族の負担,2025-05
2025/05/09,不安神経症の東洋医学の考え方,https://www.instagram.com/reel/DJaERHoT9a_/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"セミナー告知, 体調不良",不安神経症　動機　過呼吸,2025-05
2025/05/09,人間関係に迷っている人へ,https://www.instagram.com/reel/DJa1lYmRUrp/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"セミナー告知, パートナー, 人間関係",東洋医学の男と女、人間関係のキホン,2025-05
2025/05/08,言いたいことの伝え方,https://www.instagram.com/reel/DJXVRZLTPFA/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"パートナー, 人間関係",逃げる人,2025-05
2025/05/07,出産した,https://www.instagram.com/reel/DJUweDgzxZp/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,嬉しい報告,出産,2025-05
2025/05/06,優しく喋る,https://www.instagram.com/reel/DJSLqUCzlwb/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"人間関係, 氣",外面,2025-05
2025/05/05,すごく乱れていた昔のボウズ,https://www.instagram.com/reel/DJPm1-OzBrh/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,氣,ボウズの話,2025-05
2025/05/04,デジタルデトックス,https://www.instagram.com/reel/DJNCG5CzZWO/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"氣, 生活習慣",デジタルデトックス,2025-05
2025/05/03,急にキレる魅力のない夫,https://www.instagram.com/reel/DJKcpycTDS0/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,パートナー,放置,2025-05
2025/05/02,みんな優しいの,https://www.instagram.com/reel/DJNBeOBTILM/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"人間関係, 氣",よかれ　優しさ,2025-05
2025/05/01,義理の家族との距離が…,https://www.instagram.com/reel/DJFTGLMTvmU/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"人間関係, 嬉しい報告",モラハラ,2025-05
2025/04/30,足るを知るって何？,https://www.instagram.com/reel/DJCuRk_TdJ9/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,氣,未設定,2025-04
2025/04/29,周りの人からよく見られたい,https://www.instagram.com/reel/DJAJkncT0l2/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,氣,外面　人の目,2025-04
2025/04/28,怒り狂っていた私が…,https://www.instagram.com/reel/DI9lU5UTfSX/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"嬉しい報告, 氣, 親子",怒り,2025-04
2025/04/27,もっと子どもと遊んであげたい,https://www.instagram.com/reel/DI7AjLATT7G/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,親子,自己嫌悪,2025-04
2025/04/26,彼氏ができた,https://www.instagram.com/reel/DI4bHf_ztBy/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,嬉しい報告,恋愛,2025-04
2025/04/25,喧嘩でマウントをとる夫,https://www.instagram.com/reel/DI12ZvIT-AD/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"パートナー, 人間関係",夫婦喧嘩,2025-04
2025/04/24,下級生に当たる息子,https://www.instagram.com/reel/DIzRk4Fz5JS/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"人間関係, 親子",未設定,2025-04
2025/04/23,昇格しました,https://www.instagram.com/reel/DIwsv1TzqR9/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,嬉しい報告,調える,2025-04
2025/04/22,I hoach you,https://www.instagram.com/reel/DIuIgiOz4sT/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"パートナー, 人間関係, 嬉しい報告, 親子",放置,2025-04
2025/04/21,子どもを平等に,https://www.instagram.com/reel/DIrjITJTYl5/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,親子,子育て,2025-04
