投稿日,タイトル,URL,グループ,症状名・悩み事,年月
2025/04/20,スマホを見る理由,https://www.instagram.com/reel/DImZoP0T7KS/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,氣,スマホ依存,2025-04
2025/04/19,発達障害と診断された小2の娘,https://www.instagram.com/reel/DImaJ37zoBi/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"セミナー告知, 不登校, 嬉しい報告, 発達障害",ASD　癇癪,2025-04
2025/04/18,反面教師でイイの？,https://www.instagram.com/reel/DIj1TQUzfB8/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"人間関係, 親子",家族,2025-04
2025/04/17,思春期の子どもとの距離感,https://www.instagram.com/reel/DIhQhFyzt_p/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,親子,子育て,2025-04
2025/04/16,気がついた人がやればいい？,https://www.instagram.com/reel/DIerPaDTsMk/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"パートナー, 人間関係",家事　片付け,2025-04
2025/04/15,娘と勉強した,https://www.instagram.com/reel/DIcGYXETTym/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"嬉しい報告, 親子",子育て,2025-04
2025/04/14,寂しがる彼,https://www.instagram.com/reel/DIZhmVbT9bX/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,パートナー,依存,2025-04
2025/04/14,ス活の第二期受付は今日までです,https://www.instagram.com/reel/DIaT7qHzNAD/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,セミナー告知,内股　股関節,2025-04
2025/04/13,表現にこだわるアーティストな子,https://www.instagram.com/reel/DIW9aikzxCd/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,親子,子育て　チック,2025-04
2025/04/12,離婚したいと思っていた夫が…,https://www.instagram.com/reel/DIUYm41z0DE/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,パートナー,離婚,2025-04
2025/04/11,自己責任。自分が選択した結果,https://www.instagram.com/reel/DIRzw2izkaG/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,人間関係,自己責任,2025-04
2025/04/10,いじめてくる同級生,https://www.instagram.com/reel/DIPOZRRzPfg/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"人間関係, 親子",いじめ,2025-04
2025/04/09,子どもを接待,https://www.instagram.com/reel/DIMpqSYTIuC/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"人間関係, 氣",子育て　接待,2025-04
2025/04/08,ボウズのメンター,https://www.instagram.com/reel/DIKFYcdzzuL/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"人間関係, 氣",メンター,2025-04
2025/04/07,ダンナが言いたいコトを言ってくれない,https://www.instagram.com/reel/DIHgDxWzoc6/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,パートナー,夫婦喧嘩,2025-04
2025/04/06,完璧主義は氣の乱れ？,https://www.instagram.com/reel/DIE72nHztru/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,氣,完璧主義　プライド,2025-04
2025/04/05,八日目のモラ,https://www.instagram.com/reel/DICWc5FTVQc/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"パートナー, 親子",モラハラ,2025-04
2025/04/04,反りの合わない上司のいる会社,https://www.instagram.com/reel/DH_yRvnT7tW/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"人間関係, 氣",退職,2025-04
2025/04/03,息子の機嫌を取るのをやめてみた,https://www.instagram.com/reel/DH9NdtbTbsv/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"嬉しい報告, 親子",子育て　放置,2025-04
2025/04/02,冬休みに昼夜逆転,https://www.instagram.com/reel/DH6oDkfzVvl/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"生活習慣, 親子",昼夜逆転,2025-04
2025/04/01,外面で寄ってくるのは大人,https://www.instagram.com/reel/DH4D5ZrzWt2/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"人間関係, 氣",外面　嘘,2025-04
2025/04/01,調圧法の体の見方：経絡の反応を診る,https://www.instagram.com/reel/DH5Ryc7zF5R/?utm_source=ig_web_copy_link,セミナー告知,調圧法,2025-04
2025/03/31,職場でボウザーを発見,https://www.instagram.com/reel/DH1fARozTSZ/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,嬉しい報告,ボウザー,2025-03
2025/03/30,放置と育児放棄,https://www.instagram.com/reel/DHy6OavT7kb/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,親子,子育て,2025-03
2025/03/29,スパッと切る覚悟,https://www.instagram.com/reel/DHwVetbTw49/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,パートナー,離婚,2025-03
2025/03/28,楽しい大人になって,https://www.instagram.com/reel/DHtwJUuThly/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"氣, 親子",家族　子育て,2025-03
2025/03/28,調圧法の体の見方：症状の原因を探す,https://www.instagram.com/reel/DHu_foOTlxf/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,セミナー告知,調圧法,2025-03
2025/03/27,バッキバキの笑顔,https://www.instagram.com/reel/DHrLSBQTW3H/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,嬉しい報告,外面,2025-03
2025/03/26,自分に自信を持つには？,https://www.instagram.com/reel/DHonHirzhRD/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,氣,自信,2025-03
2025/03/25,みんながイイ人っていうあの人,https://www.instagram.com/reel/DHmCVUEzfTK/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"人間関係, 氣",本音,2025-03
2025/03/24,食べ物に良い悪いはナイ,https://www.instagram.com/reel/DHjc4Z3T4zP/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,食事,食べ物,2025-03
2025/03/23,シンママと発達障害の息子,https://www.instagram.com/reel/DHg4Joxz9ai/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"嬉しい報告, 発達障害, 親子",親子関係　発達障害,2025-03
2025/03/23,空港でおにぎりに喜ぶ👨‍🦲,https://www.instagram.com/reel/DHiKHaGzkg9/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,未設定,ボウズの話,2025-03
2025/03/22,適応障害と鬱で長く寝てしまう,https://www.instagram.com/reel/DHeT6OwzYSs/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"体調不良, 氣",鬱　適応障害,2025-03
2025/03/22,東洋医学の男と女、人間関係のキホン,https://www.instagram.com/reel/DHfhegez2kp/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,セミナー告知,ダイジェスト,2025-03
2025/03/21,旦那のイイとこ教えてよ,https://www.instagram.com/reel/DHbvFI_z5Bm/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,パートナー,夫婦,2025-03
2025/03/21,東洋医学の男と女、人間関係のキホン,https://www.instagram.com/reel/DHdGGEEum0S/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,セミナー告知,ダイジェスト,2025-03
2025/03/20,占いで未来は分かるの？,https://www.instagram.com/reel/DHZJthkzbDL/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,氣,九星気学,2025-03
2025/03/20,東洋医学の男と女、人間関係のキホン,https://www.instagram.com/reel/DHaYOynTQvR/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,セミナー告知,ダイジェスト,2025-03
2025/03/19,氣を調えようよって話,https://www.instagram.com/reel/DHWk8sNzBwS/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,氣,調える,2025-03
2025/03/18,夫婦仲が良くなった,https://www.instagram.com/reel/DHUAIscz3By/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"パートナー, 人間関係, 嬉しい報告",夫婦　ぶりっ子,2025-03
2025/03/17,ピルを服用している人の調え方,https://www.instagram.com/reel/DHRbUm4zSHd/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,生理,ピル　PMS,2025-03
2025/03/16,ロングスリーパーを治したい,https://www.instagram.com/reel/DHO3E85z2FU/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,氣,睡眠,2025-03
2025/03/15,子どもと向き合えない,https://www.instagram.com/reel/DHMRyeDzWMI/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,親子,子育て,2025-03
2025/03/15,調圧法の治療デモ：反れない背中,https://www.instagram.com/reel/DHNk0rIzoAV/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,セミナー告知,調圧法,2025-03
2025/03/14,調えるってすごい,https://www.instagram.com/reel/DHJs-7ezRek/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"嬉しい報告, 氣",調える,2025-03
2025/03/13,出産後の生理の再開,https://www.instagram.com/reel/DHHIJOuTrZT/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,生理,出産,2025-03
2025/03/12,車酔い,https://www.instagram.com/reel/DHEj7g_zKD8/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"体調不良, 氣",車酔い,2025-03
2025/03/11,１７歳の娘と合わない,https://www.instagram.com/reel/DHB_LJkz0OQ/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"人間関係, 親子",子育て,2025-03
2025/03/10,がんばりたい人を変えることはできますか？,https://www.instagram.com/reel/DG_aVLWT--T/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,人間関係,家族,2025-03
2025/03/10,東洋医学の男と女、人間関係のキホン,https://www.instagram.com/reel/DHAfrfqzboX/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,セミナー告知,自分らしさ,2025-03
2025/03/09,調ってきた私と思春期の娘,https://www.instagram.com/reel/DG81haqTBas/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"体調不良, 嬉しい報告, 親子",子育て,2025-03
2025/03/08,この世界の設定,https://www.instagram.com/reel/DG6QJrGTql5/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,氣,調える,2025-03
2025/03/07,ダラダラしたら家事が,https://www.instagram.com/reel/DG3rV0DT502/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"氣, 親子",ダラダラできない,2025-03
2025/03/06,怖い上司と転職希望,https://www.instagram.com/reel/DG1GkNITYXN/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,人間関係,転職,2025-03
2025/03/05,生理が調ってきた,https://www.instagram.com/reel/DGyhw5RzPm0/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"嬉しい報告, 生理",PMS,2025-03
2025/03/04,糖質依存,https://www.instagram.com/reel/DGv9mkOzIb-/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,食事,糖質依存,2025-03
2025/03/03,放置しても攻めてくる夫,https://www.instagram.com/reel/DGtYN4PTlK-/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"パートナー, 人間関係",モラハラ,2025-03
2025/03/02,子どもが調ってきた,https://www.instagram.com/reel/DGqzYe3zQQx/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"嬉しい報告, 親子",子育て,2025-03
2025/03/01,時間は大事！,https://www.instagram.com/reel/DGoOmftTbZ9/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,人間関係,約束,2025-03
2025/02/28,51歳。今からでも変われますか？,https://www.instagram.com/reel/DGlqb_xTqUA/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,氣,制限,2025-02
2025/02/27,女は愛嬌？,https://www.instagram.com/reel/DGjE-xBzGWU/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"人間関係, 氣",気疲れ,2025-02
2025/02/26,チョコの欲求が減った,https://www.instagram.com/reel/DGgg2x2TumH/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"嬉しい報告, 食事",甘いもの,2025-02
2025/02/25,ヒーロー気質の強い夫,https://www.instagram.com/reel/DGd7cAvzeO1/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"パートナー, 人間関係",夫婦,2025-02
2025/02/24,痔の治し方,https://www.instagram.com/reel/DGbWnp6z4oQ/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,体調不良,痔,2025-02
2025/02/23,氣が調っているサインの見方,https://www.instagram.com/reel/DGYyZIhT2rM/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,氣,調える,2025-02
2025/02/22,保育園で片足立ちをする息子,https://www.instagram.com/reel/DGWNqvITC2Z/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"嬉しい報告, 氣, 親子",イライラ,2025-02
2025/02/21,こんな占いは信じなくてイイ,https://www.instagram.com/reel/DGToTmpznn6/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,氣,九星気学,2025-02
2025/02/20,最高の新しい職場,https://www.instagram.com/reel/DGREAM9zAy0/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"嬉しい報告, 氣",転職,2025-02
2025/02/19,副鼻腔炎,https://www.instagram.com/reel/DGOepasziT5/?utm_source=ig_web_copy_link,"体調不良, 食事",副鼻腔炎,2025-02
2025/02/18,親の失敗談を聞いてみよう,https://www.instagram.com/reel/DGL52VLTlyt/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"氣, 親子",失敗,2025-02
2025/02/17,冬になると夜泣き,https://www.instagram.com/reel/DGJVI27zl3k/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,親子,夜泣き,2025-02
2025/02/16,しっかり寝たら笑顔が増えた,https://www.instagram.com/reel/DGGwUdrzT4o/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"嬉しい報告, 氣",頑張る　マジメ,2025-02
2025/02/15,子どもが産まれた,https://www.instagram.com/reel/DGELdEoTX4Y/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"氣, 親子",始めての経験,2025-02
2025/02/14,共感した気にならないで,https://www.instagram.com/reel/DGBmvsRzb8m/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"不登校, 人間関係",共感,2025-02
2025/02/13,いいね！すばらしいね！って言う子ども,https://www.instagram.com/reel/DF_B54zzdL6/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"嬉しい報告, 親子",がんばらない,2025-02
2025/02/12,子どもにとって心地いい親になりたい,https://www.instagram.com/reel/DF8du3BTjfc/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,親子,自信,2025-02
2025/02/11,中学生のチックと暴言,https://www.instagram.com/reel/DFtAYgiTzH_/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"体調不良, 嬉しい報告, 親子",放置,2025-02
2025/02/11,厄年は変化の年,https://www.instagram.com/reel/DF546aSTbmT/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,氣,厄年,2025-02
2025/02/10,自己肯定感を上げるには,https://www.instagram.com/reel/DF3UEskzAI_/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,氣,自己肯定感,2025-02
2025/02/09,お母さん、竹を踏みなさい,https://www.instagram.com/reel/DF0vQprTWw8/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"嬉しい報告, 親子",調える,2025-02
2025/02/08,食べ比べをやってみて,https://www.instagram.com/reel/DFyKdwzzuL6/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,食事,痰,2025-02
2025/02/08,調圧法の北村さんの出張治療のお知らせ,https://www.instagram.com/reel/DFzUXaBTced/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,未設定,調圧法　告知,2025-02
2025/02/07,突き抜けて城を作ろう,https://www.instagram.com/reel/DFvlIDGz8kt/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,氣,家出,2025-02
2025/02/06,テスト前はコンディションを調える,https://www.instagram.com/reel/DFtA3bITo_J/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"体調不良, 親子",潰瘍性大腸炎,2025-02
2025/02/05,お年玉　親が管理する？,https://www.instagram.com/reel/DFqcJ9ezVnU/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"氣, 親子",お金の使い方,2025-02
2025/02/04,突き抜けるって何？,https://www.instagram.com/reel/DFn2znlT5eR/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,氣,妥協,2025-02
2025/02/03,氣の乱れは連鎖する,https://www.instagram.com/reel/DFlSk4nzu8P/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,氣,氣の乱れ,2025-02
2025/02/03,調圧法体験会と治療のお知らせ,https://www.instagram.com/reel/DFmfMDFzF_q/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,未設定,調圧法　告知,2025-02
2025/02/02,何度でも失敗してもイイ,https://www.instagram.com/reel/DFitJjDzC7g/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,氣,失敗　経験,2025-02
2025/02/01,行き渋り。私の氣ってスゴイの,https://www.instagram.com/reel/DFgIXkez_zN/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"不登校, 嬉しい報告, 親子",のびのび,2025-02
2025/01/31,中途覚醒,https://www.instagram.com/reel/DFdkLEnT2Y3/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"体調不良, 氣, 食事",中途覚醒,2025-01
2025/01/30,よかれと忘れ物,https://www.instagram.com/reel/DFa_Z2WTamB/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"氣, 親子",よかれ,2025-01
2025/01/29,親子で氣の話,https://www.instagram.com/reel/DFYZ9RJTQh4/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"嬉しい報告, 親子",調える,2025-01
2025/01/28,お金の価値観,https://www.instagram.com/reel/DFV1Ixxzj8u/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"人間関係, 氣, 親子",価値観,2025-01
2025/01/27,恋愛で依存体質,https://www.instagram.com/reel/DFTQYd_zSaF/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"パートナー, 人間関係, 氣",恋愛,2025-01
2025/01/26,子どもの吃音,https://www.instagram.com/reel/DFQsMWFTGMv/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"嬉しい報告, 氣, 親子",吃音,2025-01
2025/01/25,お弁当辞める宣言,https://www.instagram.com/reel/DFOHZM5zAf0/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"嬉しい報告, 親子",マジメ,2025-01
2025/01/24,午前中にイライラしたボウズ,https://www.instagram.com/reel/DFLh9GcT3bh/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,氣,感情,2025-01
2025/01/23,鎧のように固かった私,https://www.instagram.com/reel/DFI9QFSSPGp/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"嬉しい報告, 氣",外面,2025-01
2025/01/22,親の育て方が悪かった,https://www.instagram.com/reel/DFGYbCaRIFe/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,親子,子育て,2025-01
2025/01/21,よかれと共依存,https://www.instagram.com/reel/DFDzqrDxDhN/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"人間関係, 親子",よかれ,2025-01
2025/01/20,食事の好みの変化,https://www.instagram.com/reel/DFBO0odzZQS/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"嬉しい報告, 食事",食の好み,2025-01
2025/01/19,テスト勉強をしない娘,https://www.instagram.com/reel/DE-qmjFzUjc/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"不登校, 氣, 親子",テスト勉強,2025-01
2025/01/18,異動願いを引き止められた,https://www.instagram.com/reel/DE8FwjGTd-c/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"人間関係, 氣",意見　壁,2025-01
2025/01/17,のびのびしたら家事を手伝うようになった娘,https://www.instagram.com/reel/DE5ggDfzQEG/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"嬉しい報告, 親子",手放す　放置,2025-01
2025/01/16,元気の良さと氣の乱れの違い,https://www.instagram.com/reel/DE27ptpzoiO/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,"氣, 親子",個性　乱れ,2025-01
2025/01/15,のびのびといい加減,https://www.instagram.com/reel/DE0W6Cqz9Hz/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,氣,のびのび,2025-01
